ID,Consent,Gender,Age,Video,Predictability,Controllability,Comments
7,I consent to partcipating in the study,Male,26,1,7,4,"Since I dont know anything about the controll mechanism behind the robot I dont think I can fairly judge that in any way and therefore gave the same answer for all. Furthermore even if I knew, I dont see a correlation between predictability and ones ability to controll a robot, since it all comes down to programming their behaviour. If we start talking about AI that would look different I guess, but thats a theme way to heavy for a wednesday morning. Also, maybe I'm just too dumb for that."
7,I consent to partcipating in the study,Male,26,2,5,4,"Since I dont know anything about the controll mechanism behind the robot I dont think I can fairly judge that in any way and therefore gave the same answer for all. Furthermore even if I knew, I dont see a correlation between predictability and ones ability to controll a robot, since it all comes down to programming their behaviour. If we start talking about AI that would look different I guess, but thats a theme way to heavy for a wednesday morning. Also, maybe I'm just too dumb for that."
7,I consent to partcipating in the study,Male,26,3,6,4,"Since I dont know anything about the controll mechanism behind the robot I dont think I can fairly judge that in any way and therefore gave the same answer for all. Furthermore even if I knew, I dont see a correlation between predictability and ones ability to controll a robot, since it all comes down to programming their behaviour. If we start talking about AI that would look different I guess, but thats a theme way to heavy for a wednesday morning. Also, maybe I'm just too dumb for that."
7,I consent to partcipating in the study,Male,26,4,1,4,"Since I dont know anything about the controll mechanism behind the robot I dont think I can fairly judge that in any way and therefore gave the same answer for all. Furthermore even if I knew, I dont see a correlation between predictability and ones ability to controll a robot, since it all comes down to programming their behaviour. If we start talking about AI that would look different I guess, but thats a theme way to heavy for a wednesday morning. Also, maybe I'm just too dumb for that."
8,I consent to partcipating in the study,Male,51,1,6,2,
8,I consent to partcipating in the study,Male,51,2,3,5,
8,I consent to partcipating in the study,Male,51,3,6,2,
8,I consent to partcipating in the study,Male,51,4,4,4,
9,I consent to partcipating in the study,Male,18,1,7,2,
9,I consent to partcipating in the study,Male,18,2,6,5,
9,I consent to partcipating in the study,Male,18,3,7,7,
9,I consent to partcipating in the study,Male,18,4,1,7,
10,I consent to partcipating in the study,Female,23,1,7,2,Need speed improvement 
10,I consent to partcipating in the study,Female,23,2,5,3,Need speed improvement 
10,I consent to partcipating in the study,Female,23,3,3,4,Need speed improvement 
10,I consent to partcipating in the study,Female,23,4,4,5,Need speed improvement 
11,I consent to partcipating in the study,Male,30,1,5,3,
11,I consent to partcipating in the study,Male,30,2,3,3,
11,I consent to partcipating in the study,Male,30,3,5,3,
11,I consent to partcipating in the study,Male,30,4,3,3,
12,I consent to partcipating in the study,Female,23,1,7,2,
12,I consent to partcipating in the study,Female,23,2,5,4,
12,I consent to partcipating in the study,Female,23,3,7,2,
12,I consent to partcipating in the study,Female,23,4,5,2,
13,I consent to partcipating in the study,Male,25,1,7,1,
13,I consent to partcipating in the study,Male,25,2,4,5,
13,I consent to partcipating in the study,Male,25,3,7,1,
13,I consent to partcipating in the study,Male,25,4,4,1,
